run_id,scenario_id,ns3_seed,ns3_run,sumo_seed,propagation,window_start_s,window_end_s,src,dst,tx,rx_ok,per,dist_m,within_evaluation_radius,v_src_mps,v_dst_mps,rssi_dbm,snr_db,phy_n,cbr_tx,cbr_rx,cbr_global
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh0,veh1,5,0,1,771.387,0,8.07755,7.52603,nan,nan,0,0.01,0.01,0.008
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh1,veh0,5,0,1,771.387,0,7.52603,8.07755,nan,nan,0,0.01,0.01,0.008
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh2,veh3,5,5,0,268.41,1,5.07966,2.26464,-75.2537,21.7226,5,0.01,0.01,0.008
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh3,veh2,5,5,0,268.41,1,2.26464,5.07966,-75.2537,21.7226,5,0.01,0.01,0.008
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh0,veh1,5,0,1,760.041,0,8.05506,8.30088,nan,nan,0,0.015,0.015,0.013
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh0,veh4,5,5,0,498.282,1,8.05506,1.19871,-80.6271,16.3492,5,0.015,0.015,0.013
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh1,veh0,5,0,1,760.041,0,8.30088,8.05506,nan,nan,0,0.015,0.015,0.013
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh1,veh4,5,5,0,263.214,1,8.30088,1.19871,-75.0838,21.8925,5,0.015,0.015,0.013
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh2,veh3,5,5,0,266.641,1,6.89712,4.21379,-75.1962,21.7801,5,0.01,0.01,0.013
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh3,veh2,5,5,0,266.641,1,4.21379,6.89712,-75.1962,21.7801,5,0.01,0.01,0.013
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh4,veh0,5,5,0,498.282,1,1.19871,8.05506,-80.6271,16.3492,5,0.015,0.015,0.013
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh4,veh1,5,5,0,263.214,1,1.19871,8.30088,-75.0838,21.8925,5,0.015,0.015,0.013
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh0,veh1,5,0,1,748.76,0,8.0476,8.31141,nan,nan,0,0.018,0.015,0.0139762
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh0,veh4,5,5,0,490.229,1,8.0476,3.27939,-80.4856,16.4907,5,0.018,0.018,0.0139762
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh0,veh5,3,3,0,265.623,1,8.04592,0.736007,-75.163,21.8133,3,0.018,0.0128571,0.0139762
juelich_pilot_d60_r5_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh1,veh0,5,0,1,748.76,0,8.31141,8.0476,nan,nan,0,0.015,0.018,0.0139762
