campaign	run_id	scenario	target_density_vpkm2	cam_rate_hz	propagation	ns3_seed	ns3_run	sumo_seed	window_s	sumocfg	status
pilot	juelich_pilot_d10_r2_log_distance_s01_w1	juelich	10	2	log-distance	12345	1	1	1	juelich_sumo/density_10/osm.sumocfg	planned
pilot	juelich_pilot_d10_r2_log_distance_s02_w1	juelich	10	2	log-distance	12345	2	2	1	juelich_sumo/density_10/osm.sumocfg	planned
pilot	juelich_pilot_d10_r5_log_distance_s01_w1	juelich	10	5	log-distance	12345	1	1	1	juelich_sumo/density_10/osm.sumocfg	planned
pilot	juelich_pilot_d10_r5_log_distance_s02_w1	juelich	10	5	log-distance	12345	2	2	1	juelich_sumo/density_10/osm.sumocfg	planned
pilot	juelich_pilot_d10_r10_log_distance_s01_w1	juelich	10	10	log-distance	12345	1	1	1	juelich_sumo/density_10/osm.sumocfg	planned
pilot	juelich_pilot_d10_r10_log_distance_s02_w1	juelich	10	10	log-distance	12345	2	2	1	juelich_sumo/density_10/osm.sumocfg	planned
pilot	juelich_pilot_d30_r2_log_distance_s01_w1	juelich	30	2	log-distance	12345	1	1	1	juelich_sumo/density_30/osm.sumocfg	planned
pilot	juelich_pilot_d30_r2_log_distance_s02_w1	juelich	30	2	log-distance	12345	2	2	1	juelich_sumo/density_30/osm.sumocfg	planned
pilot	juelich_pilot_d30_r5_log_distance_s01_w1	juelich	30	5	log-distance	12345	1	1	1	juelich_sumo/density_30/osm.sumocfg	planned
pilot	juelich_pilot_d30_r5_log_distance_s02_w1	juelich	30	5	log-distance	12345	2	2	1	juelich_sumo/density_30/osm.sumocfg	planned
pilot	juelich_pilot_d30_r10_log_distance_s01_w1	juelich	30	10	log-distance	12345	1	1	1	juelich_sumo/density_30/osm.sumocfg	planned
pilot	juelich_pilot_d30_r10_log_distance_s02_w1	juelich	30	10	log-distance	12345	2	2	1	juelich_sumo/density_30/osm.sumocfg	planned
pilot	juelich_pilot_d60_r2_log_distance_s01_w1	juelich	60	2	log-distance	12345	1	1	1	juelich_sumo/density_60/osm.sumocfg	planned
pilot	juelich_pilot_d60_r2_log_distance_s02_w1	juelich	60	2	log-distance	12345	2	2	1	juelich_sumo/density_60/osm.sumocfg	planned
pilot	juelich_pilot_d60_r5_log_distance_s01_w1	juelich	60	5	log-distance	12345	1	1	1	juelich_sumo/density_60/osm.sumocfg	planned
pilot	juelich_pilot_d60_r5_log_distance_s02_w1	juelich	60	5	log-distance	12345	2	2	1	juelich_sumo/density_60/osm.sumocfg	planned
pilot	juelich_pilot_d60_r10_log_distance_s01_w1	juelich	60	10	log-distance	12345	1	1	1	juelich_sumo/density_60/osm.sumocfg	planned
pilot	juelich_pilot_d60_r10_log_distance_s02_w1	juelich	60	10	log-distance	12345	2	2	1	juelich_sumo/density_60/osm.sumocfg	planned
