run_id,scenario_id,ns3_seed,ns3_run,sumo_seed,propagation,window_start_s,window_end_s,src,dst,tx,rx_ok,per,dist_m,within_evaluation_radius,v_src_mps,v_dst_mps,rssi_dbm,snr_db,phy_n,cbr_tx,cbr_rx,cbr_global
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh0,veh1,2,0,1,338.909,1,8.42539,7.85569,nan,nan,0,0.01,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh0,veh2,2,0,1,812.788,0,8.42539,0,nan,nan,0,0.01,0.012,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh0,veh3,2,0,1,421.708,1,8.42539,11.7506,nan,nan,0,0.01,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh0,veh4,2,0,1,659.505,0,8.42539,7.27733,nan,nan,0,0.01,0.012,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh0,veh6,2,0,1,713.427,0,8.42539,3.64257,nan,nan,0,0.01,0.012,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh1,veh0,2,0,1,338.909,1,7.85569,8.42539,nan,nan,0,0.01,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh1,veh2,2,0,1,501.247,0,7.85569,0,nan,nan,0,0.01,0.012,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh1,veh3,2,2,0,212.838,1,7.85569,11.7506,-73.2385,5.86771,2,0.01,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh1,veh4,2,0,1,422.301,1,7.85569,7.27733,nan,nan,0,0.01,0.012,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh1,veh6,2,2,0,394.993,1,7.85569,3.64257,-78.6095,4.93361,2,0.01,0.012,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh2,veh0,2,0,1,812.788,0,0,8.42539,nan,nan,0,0.012,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh2,veh1,2,2,0,501.247,0,0,7.85569,-80.6787,16.2975,2,0.012,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh2,veh3,2,0,1,615.965,0,0,11.7506,nan,nan,0,0.012,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh2,veh4,2,2,0,253.941,1,0,7.27733,-74.7723,22.204,2,0.012,0.012,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh2,veh5,2,2,0,567.661,0,0,13.4922,-81.7595,15.2168,2,0.012,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh2,veh6,2,2,0,438.497,1,0,3.64257,-79.517,17.4593,2,0.012,0.012,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh3,veh0,2,2,0,421.708,1,11.7506,8.42539,-79.1777,17.7986,2,0.01,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh3,veh1,2,2,0,212.838,1,11.7506,7.85569,-73.2385,23.7378,2,0.01,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh3,veh2,2,0,1,615.965,0,11.7506,0,nan,nan,0,0.01,0.012,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh3,veh4,2,0,1,606.384,0,11.7506,7.27733,nan,nan,0,0.01,0.012,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh3,veh6,2,2,0,326.607,1,11.7506,3.64257,-76.9576,20.0186,2,0.01,0.012,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh4,veh0,2,0,1,659.505,0,7.27733,8.42539,nan,nan,0,0.012,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh4,veh1,2,2,0,422.301,1,7.27733,7.85569,-79.19,17.7863,2,0.012,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh4,veh2,2,2,0,253.941,1,7.27733,0,-74.7723,22.204,2,0.012,0.012,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh4,veh3,2,0,1,606.384,0,7.27733,11.7506,nan,nan,0,0.012,0.01,0.0108571
julich_d10_r2_log_s01_20260806T151205Z,julich,12345,1,1,log-distance,60,61,veh4,veh5,2,0,1,802.221,0,7.27733,13.4922,nan,nan,0,0.012,0.01,0.0108571
