t,src,dst,tx,rxOk,per,dist_m,v_src,v_dst,rssi_dbm,snr_db,phyN,cbr_tx,cbr_rx,cbr_global
11,veh1,veh0,10,4,0.6,581.268,0,0.308475,-76.4726,20.5037,4,0.066,0.022,0.044
11,veh0,veh1,10,5,0.5,581.268,0.308475,0,-79.4115,10.6065,5,0.022,0.066,0.044
12,veh1,veh0,10,4,0.6,580.264,1.8917,0.0401477,-74.4079,22.5684,4,0.069,0.048,0.0585
12,veh0,veh1,10,6,0.4,580.264,0.0401477,1.8917,-76.7297,13.1359,6,0.048,0.069,0.0585
13,veh1,veh0,10,6,0.4,578.034,4.2318,0.00171912,-78.3278,18.6485,6,0.082,0.037,0.0595
13,veh0,veh1,10,3,0.7,578.034,0.00171912,4.2318,-76.8246,14.8596,3,0.037,0.082,0.0595
14,veh1,veh0,10,7,0.3,575.139,5.55737,0,-78.0784,18.8979,7,0.064,0.038,0.051
14,veh0,veh1,10,6,0.4,575.139,0,5.55737,-79.7767,13.9084,6,0.038,0.064,0.051
15,veh1,veh0,10,5,0.5,571.748,6.60702,0,-77.6233,19.353,5,0.073,0.034,0.0535
15,veh0,veh1,10,3,0.7,571.748,0,6.60702,-76.1066,18.0932,3,0.034,0.073,0.0535
16,veh1,veh0,10,6,0.4,567.865,7.705,0,-78.36,18.6163,6,0.074,0.031,0.0525
16,veh0,veh1,10,5,0.5,567.865,0,7.705,-77.4974,8.19692,5,0.031,0.074,0.0525
17,veh1,veh0,10,3,0.7,564.036,7.75671,0,-77.7885,19.1878,3,0.07,0.036,0.053
17,veh0,veh1,10,7,0.3,564.036,0,7.75671,-77.6195,9.86872,7,0.036,0.07,0.053
18,veh1,veh0,10,6,0.4,560.501,7.31163,0,-78.3748,18.6015,6,0.073,0.034,0.0535
18,veh0,veh1,10,4,0.6,560.501,0,7.31163,-76.593,9.87087,4,0.034,0.073,0.0535
