ns3_run,all_rows_matched,all_rows_values,evaluated_rows_matched,evaluated_rows_values,tx_packets_matched,tx_packets_values,all_controlled_fields_matched
1,True,141852|141852|141852,True,74430|74430|74430,True,148126|148126|148126,True
2,True,141852|141852|141852,True,74430|74430|74430,True,148126|148126|148126,True
3,True,141852|141852|141852,True,74430|74430|74430,True,148126|148126|148126,True
4,True,141865|141865|141865,True,74438|74438|74438,True,148132|148132|148132,True
5,True,141852|141852|141852,True,74430|74430|74430,True,148126|148126|148126,True
6,True,141852|141852|141852,True,74430|74430|74430,True,148126|148126|148126,True
7,True,141852|141852|141852,True,74430|74430|74430,True,148126|148126|148126,True
8,True,141852|141852|141852,True,74430|74430|74430,True,148126|148126|148126,True
9,True,141867|141867|141867,True,74435|74435|74435,True,148123|148123|148123,True
10,True,141851|141851|141851,True,74430|74430|74430,True,148125|148125|148125,True
